Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
ABT1067,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1071,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1072,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1073,Andrew Yang (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1075,Elizabeth Warren (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
ABT1076,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1079,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1084,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1085,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1118,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1119,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1120,Elizabeth Warren (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1121,Joe Biden (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1122,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1123,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1124,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1125,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1126,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
ABT1127,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1128,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1129,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1130,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1131,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1132,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1133,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1134,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
ABT1135,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1136,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1137,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1138,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1140,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
ABT1141,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1142,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1234,Elizabeth Warren (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,
ABTI011,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ALR1054,,Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL2107,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2136,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1105,Michael Bennet (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,
ARL10009,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,No
ARL1001,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
Arl1002,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
Arl1003,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,
ARL1005,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1006,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1007,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1010,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1013,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1014,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1016,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1017,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1019,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1021,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1022,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1023,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1025,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
arl1027,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,,,,,Yes
ARL1028,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,
Arl1029,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1030,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,No
ARL1031,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1032,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1034,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1035,,Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,No
ARL1036,,Arlington High School,,,,,,,,,,,,,,,,,,,No
ARL1038,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1039,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1041,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1042,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1043,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1044,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1045,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1047,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1048,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1049,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1050,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1051,,Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,
ARL1052,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1053,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1056,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1057,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1059,,Arlington High School,,,,,,,,,,,,,,,,,,,
ARL1060,,Arlington High School,,,,,,,,,,,,,,,,,,,
ARL1061,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1062,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,
ARL1063,Tom Steyer (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1064,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1065,,Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1067,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1069,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1070,Tom Steyer (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1071,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1072,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1075,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1076,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
