Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
FLC1099,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1100,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Errol Webber (R),,,,,,,Yes
FLC1101,Pete Buttigieg (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1102,Andrew Yang (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1104,Pete Buttigieg (D),Foshay Learning Center,,,,,,,,,,,,Errol Webber (R),,,,,,,Yes
FLC1105,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1106,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1107,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1108,Andrew Yang (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1109,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1110,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1112,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1114,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Errol Webber (R),,,,,,,Yes
flc1115,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1116,Pete Buttigieg (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1117,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1118,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1119,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,No
FLC1120,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1121,,Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1125,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1126,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,
FLC1128,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,,,,,,,,Yes
FLC1129,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1131,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Errol Webber (R),,,,,,,Yes
FLC1132,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1133,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
flc1134,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1135,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
Flc1136,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,No
FLC1137,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1138,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1139,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1140,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,No
FLC11419,Michael Bennet (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1143,Michael Bloomberg (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,No
FLC1144,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1145,Andrew Yang (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,No
FLC1146,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1147,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1149,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1150,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1151,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1153,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1154,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1155,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1156,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1157,Elizabeth Warren (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
flc1158,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1159,Andrew Yang (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
FLC1160,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1161,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1162,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1163,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1164,Joe Biden (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1165,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLC1166,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
Flc1167,Bernie Sanders (D),Foshay Learning Center,,,,,,,,,,,,Karen Bass (D)(Incumbent),,,,,,,Yes
FLCI1058,Pete Buttigieg (D),Foshay Learning Center,,,,,,,,,,,,Larry Thompson (Independent),,,,,,,Yes
GHS0604,Elizabeth Warren (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1001,Bernie Sanders (D),Glendora High School,,,,Christian Daly (Independent),,,,,,,,,,,,,,,Yes
GHS1002,Joe Biden (D),Glendora High School,,,,Christian Daly (Independent),,,,,,,,,,,,,,,No
GHS1003,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1011,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1012,Pete Buttigieg (D),Glendora High School,,,,Johnny Nalbandian (R),,,,,,,,,,,,,,,No
GHS1018,Andrew Yang (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1021,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,No
GHS1023,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1026,Pete Buttigieg (D),Glendora High School,,,,Christian Daly (Independent),,,,,,,,,,,,,,,Yes
GHS1027,Andrew Yang (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1028,Michael Bloomberg (D),Glendora High School,,,,Christian Daly (Independent),,,,,,,,,,,,,,,Yes
GHS1030,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1031,Joe Biden (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,No
GHS1032,Tulsi Gabbard (D),Glendora High School,,,,,,,,,,,,,,,,,,,No
GHS1033,Andrew Yang (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1035,Michael Bloomberg (D),Glendora High School,,,,,,,,,,,,,,,,,,,No
ghs1036,Andrew Yang (D),Glendora High School,,,,Johnny Nalbandian (R),,,,,,,,,,,,,,,Yes
GHS1037,,Glendora High School,,,,Johnny Nalbandian (R),,,,,,,,,,,,,,,No
GHS1038,Joe Biden (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1041,Andrew Yang (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1043,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1047,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1049,Elizabeth Warren (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1050,Bernie Sanders (D),Glendora High School,,,,,,,,,,,,,,,,,,,
GHS1053,Pete Buttigieg (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1055,Bernie Sanders (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
GHS1056,Elizabeth Warren (D),Glendora High School,,,,Judy Chu (D) (Incumbent),,,,,,,,,,,,,,,Yes
hhs1000,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1001,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1002,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1003,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1004,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1005,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1007,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1008,Elizabeth Warren (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1009,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1010,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1011,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1012,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1013,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1014,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1015,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1016,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,No
HHS1017,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1018,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1019,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1020,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1021,Michael Bennet (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
hhs1022,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1023,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1024,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1025,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1026,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1027,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHs1028,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1029,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1030,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1031,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1032,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1033,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1034,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1035,Amy Klobuchar (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1036,Michael Bennet (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1037,Michael Bennet (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1038,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,David Kim (D),,,,,,,,Yes
HHS1039,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1040,Tom Steyer (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1041,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1042,,Hawthorne High School,,,,,,,,,,,,,,,,,,,Yes
HHS1043,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1044,Tom Steyer (D),Hawthorne High School,,,,,,,,,,,,,,,,,,,No
HHS1046,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,,,,
HHS1047,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,No
hhs1048,Elizabeth Warren (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1049,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1050,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1051,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1052,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1053,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1054,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
hhs1055,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1056,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1057,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1058,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1059,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1061,Elizabeth Warren (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1062,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1064,Elizabeth Warren (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1065,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1067,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1068,Deval Patrick (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1069,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,No
HHS1070,,Hawthorne High School,,,,,,,,,,,,,,,,,,,Yes
HHS1071,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1072,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1073,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1074,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1075,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1076,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1077,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1078,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1079,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1080,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1081,Tom Steyer (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1082,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1083,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1086,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1087,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1088,,Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1089,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1091,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1092,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
hhs1093,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1094,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1095,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1096,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1098,Joe Biden (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1100,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1102,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1103,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1104,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1105,Tom Steyer (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,
HHS1106,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1107,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1108,Michael Bennet (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1109,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs111,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1110,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
hhs1113,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,,,,Yes
HHS1114,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,No
HHS1115,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1116,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
HHS1117,Michael Bloomberg (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
HHS1118,Andrew Yang (D),Hawthorne High School,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
HHS1119,Tom Steyer (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,No
HHS112,Bernie Sanders (D),Hawthorne High School,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
KDM1000,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM10004,Tom Steyer (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1001,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Billy Earley (R),,Yes
KDM1002,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1003,Andrew Yang (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1005,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1006,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1007,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Billy Earley (R),,Yes
KDM1008,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1009,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1012,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1013,Michael Bloomberg (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1014,Michael Bloomberg (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1015,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1016,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1017,Tom Steyer (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1018,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1022,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1028,Amy Klobuchar (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1029,Elizabeth Warren (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1043,Michael Bloomberg (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1044,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1045,Michael Bloomberg (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Billy Earley (R),,Yes
KDM1046,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1047,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Billy Earley (R),,Yes
KDM1048,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Billy Earley (R),,Yes
KDM1049,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1050,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1051,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Nanette Barragan (D)(Incumbent),,Yes
KDM1052,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Morris Griffin (D),,Yes
KDM1053,Michael Bloomberg (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,Yes
KDM1073,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,No
KDM1075,Bernie Sanders (D),King Drew Magnet High School,,,,,,,,,,,,,,,,,Analilia Joya (D),,No
